الجملة	القطاعي	الوحدة	الكمية	العبوة	رقم القطعة	الاسم الأجنبي	الاسم	الرقم
12	12.5	قطعة	5	6	6975495593617		اسطوانة فيديا 5"-DH-CQP125-E1	202
26	27.5	قطعة	4	6	6975495593624		اسطوانة فيديا 7"-DH-CQP180-E1	203
40	43	قطعة	5	5	6975495593631		اسطوانة فيديا 9"-DH-CQP230-E1	496
13	13.75	قطعة	6	6	6975495593556		اسطوانة قص ماسية 5"-DH-SQP125-E1	201
52	55	قطعة	3	4	6975495593570		اسطوانة قص ماسية 9"-DH-SQP230-E1	204
59	62.5	قطعة	5	5	6977657253773		اسطوانة قص ماسية تروبو 9"-DH-CQP230-E4	209
47	50	قطعة	4	5	6977403222565		اسطوانة مسح خرسانة ماسية 4.5"-DH-JML115-E1	173
51	53.75	قطعة	3	5	6977403222596		اسطوانة مسح خرسانة ماسية 4.5"-DH-JML115-E2	172
51	53.75	قطعة	3	5	6977403222602		اسطوانة مسح خرسانة ماسية 5"-DH-JML125-E2	174
30	32	قطعة	3	5	6975495593662		اسطوانة منشار دائري 185ملم-DH-MJP185-E1	495
12	12.5	قطعة	4	6	6977657253414		اكسسوارات صاروخ  فورمات 10قطع-DH-ZMT003	208
27	28.75	قطعة	4	6	6977657253452		اكسسوارات صاروخ  فورمات 10قطع-DH-ZMT007	214
130	140	قطعة	1	4	6975631084245		بستولة كهربائية 400وات-DC090	399
170	185	قطعة	1	4	6975631084252		بستولة كهربائية 500وات-DC091	400
170	180	قطعة	1	3	6975102942494		بكرة خرطوم مياه 15متر-DL581143	540
83	88	قطعة	1	5	6975102945808		بلاور هواء 500وات-DL-GF03-E1	394
153	165	قطعة	1	6	6975631082623		بلاور هواء شحن 20فولت-DE820Z	360
5	6	قطعة	5	10	6975495593044		بونتة 6*160ملم-DH-Y06160	153
9	10	قطعة	6	30	6975495593280		بونتة حديد 10ملم-DH-MHZ100-E1	140
13	13.75	قطعة	6	10	6975495594959		بونتة حديد 10ملم-DL16100G	235
2	2.75	قطعة	3	30	6975495594836		بونتة حديد 4*160ملم-DL16040G	138
3	3.5	قطعة	2	30	6975495593204		بونتة حديد 6ملم-DH-MHZ060-E1	145
4	5	قطعة	6	10	6975495594874		بونتة حديد 6ملم-DL16060G	233
8	9	قطعة	6	10	6975495594911		بونتة حديد 8*160ملم-DL16080G	230
6	7	قطعة	6	30	6975495593242		بونتة حديد 8ملم-DH-MHZ080-E1	142
14	15	قطعة	4	6	6975495596069		بونتة حفر خشب 32ملم-DH-MKK032-E1	186
18	18.75	قطعة	4	6	6975495596076		بونتة حفر خشب 35ملم-DH-MKK035-E1	177
6	6.25	قطعة	6	10	6977403222275		بونتة خرسانة رباعية 10*110ملم-DH-YCZ11010-E1-SDS	236
5	6	قطعة	5	9	6977403222268		بونتة خرسانة رباعية 8*110ملم -DH-YCZ11008-E1-SDS	234
15.25	16.25	قطعة	4	5	6975495595949		بونتة خرشوفه كبايه 29ملم-DH-SKK029-E1	165
16	17.5	قطعة	3	5	6975495595963		بونتة خرشوفه كبايه 35ملم-DH-SKK035-E1	161
15	16	قطعة	3	5	6975495595970		بونتة خرشوفه كبايه 38ملم-DH-SKK038-E1	162
26	27.5	قطعة	3	5	6975495596014		بونتة خرشوفه كبايه 57ملم-DH-SKK057-E1	163
27	28.75	قطعة	3	5	6975495596038		بونتة خرشوفه كبايه 68ملم-DH-SKK068-E1	166
7	7.5	قطعة	5	5	6976391003903		بونتة دليل خرشوفه-DH-SKZ001-E1	179
14	15	قطعة	4	5	6976391003910		بونتة دليل خرشوفه-DH-SKZ002-E1	176
9	10	قطعة	5	30	6977403222220		بونتة زجاج 12ملم-DH-CZZ012-E1	195
6	6.25	قطعة	3	30	6977403222206		بونتة زجاج 8ملم-DH-CZZ008-E1	197
12	12.5	قطعة	3	4	6975495595055		بونتة كسار راس افطح 30*410*35ملم-DH-YBZ40250-E1	159
8	8.5	قطعة	5	30	6977403222213		بونتة ماسية 10ملم-DH-CZZ010-E1	193
5	5.5	قطعة	3	30	6977403222190		بونتة ماسية 6ملم-DH-CZZ006-E1	196
